,category_code,p_code,p_group,kind_name_new,rank,unit,price_1,price_2
59,AW_A00062,AW_A00062,붉은고추,붉은고추(10kg),상품,10kg,"51,200","51,700"
60,AW_A00063,AW_A00063,붉은고추,붉은고추(10kg),중품,10kg,"42,000","42,500"
61,AW_A00133,AW_A00133,피마늘,피마늘(난지)(대서)(10kg),상품,10kg,"60,000","60,000"
62,AW_A00134,AW_A00134,피마늘,피마늘(난지)(대서)(10kg),중품,10kg,"55,000","55,000"
63,AW_A00088,AW_A00088,양파,양파(15kg),상품,15kg,"21,500","21,500"
64,AW_A00089,AW_A00089,양파,양파(15kg),중품,15kg,"20,500","20,500"
65,AW_A00031,AW_A00031,파,대파(1kg),상품,1kg,"1,950","1,870"
66,AW_A00032,AW_A00032,파,대파(1kg),중품,1kg,"1,550","1,470"
67,AW_A00103,AW_A00103,파,쪽파(1kg),상품,1kg,"10,000","10,000"
68,AW_A00104,AW_A00104,파,쪽파(1kg),중품,1kg,"9,500","9,500"
69,AW_A00073,AW_A00073,생강,생강(국산)(10kg),상품,10kg,"33,000","33,000"
70,AW_A00074,AW_A00074,생강,생강(국산)(10kg),중품,10kg,"23,000","23,000"
71,AW_A00075,AW_A00075,생강,생강(수입)(10kg),중품,10kg,"45,000","45,000"
72,AW_A00049,AW_A00049,미나리,미나리(7.5kg),상품,7.5kg,"40,000","43,300"
73,AW_A00050,AW_A00050,미나리,미나리(7.5kg),중품,7.5kg,"30,000","33,300"
74,AW_A00020,AW_A00020,깻잎,깻잎(2kg),상품,2kg,"24,000","24,700"
75,AW_A00021,AW_A00021,깻잎,깻잎(2kg),중품,2kg,"19,700","20,500"
76,AW_A00135,AW_A00135,피망,피망(청)(10kg),상품,10kg,"33,000","32,700"
77,AW_A00136,AW_A00136,피망,피망(청)(10kg),중품,10kg,"26,000","25,700"
78,AW_A00119,AW_A00119,파프리카,파프리카(5kg),상품,5kg,"13,200","11,200"
79,AW_A00120,AW_A00120,파프리카,파프리카(5kg),중품,5kg,"10,200","8,250"
80,AW_A00042,AW_A00042,멜론,멜론(8kg),상품,8kg,"26,800","26,800"
81,AW_A00043,AW_A00043,멜론,멜론(8kg),중품,8kg,"21,800","21,800"
82,AW_A00018,AW_A00018,깐마늘(국산),깐마늘(국산)(대서)(20kg),상품,20kg,"170,000","170,000"
83,AW_A00019,AW_A00019,깐마늘(국산),깐마늘(국산)(대서)(20kg),중품,20kg,"160,000","160,000"
84,AW_A00139,AW_A00139,깐마늘(국산),햇깐마늘(국산)(대서)(20kg),상품,20kg,"173,000","173,000"
85,AW_A00140,AW_A00140,깐마늘(국산),햇깐마늘(국산)(대서)(20kg),중품,20kg,"163,000","163,000"
86,AW_A00016,AW_A00016,깐마늘(국산),깐마늘(국산)(남도)(20kg),상품,20kg,"175,000","175,000"
87,AW_A00017,AW_A00017,깐마늘(국산),깐마늘(국산)(남도)(20kg),중품,20kg,"165,000","165,000"
88,AW_A00137,AW_A00137,깐마늘(국산),햇깐마늘(국산)(남도)(20kg),상품,20kg,"175,000","175,000"
89,AW_A00138,AW_A00138,깐마늘(국산),햇깐마늘(국산)(남도)(20kg),중품,20kg,"165,000","165,000"
90,AW_A00029,AW_A00029,방울토마토,대추방울토마토(1kg),상품,1kg,"3,910","4,330"
91,AW_A00030,AW_A00030,방울토마토,대추방울토마토(1kg),중품,1kg,"2,910","3,330"
92,AW_A00105,AW_A00105,참깨,참깨(백색)(국산),상품,30kg,"825,000","825,000"
93,AW_A00107,AW_A00107,참깨,참깨(중국)(30kg),중품,30kg,"233,000","233,000"
94,AW_A00106,AW_A00106,참깨,참깨(인도)(30kg),중품,30kg,"170,000","170,000"
95,AW_A00033,AW_A00033,들깨,들깨(국산)(22.5kg),상품,22.5kg,"322,000","322,000"
96,AW_A00034,AW_A00034,들깨,들깨(수입)(45kg),중품,45kg,"413,000","413,000"
97,AW_A00035,AW_A00035,땅콩,땅콩(국산)(30kg),상품,30kg,"400,000","400,000"
98,AW_A00024,AW_A00024,느타리버섯,느타리버섯(2kg),상품,2kg,"11,200","11,500"
99,AW_A00025,AW_A00025,느타리버섯,느타리버섯(2kg),중품,2kg,"10,200","10,500"
100,AW_A00082,AW_A00082,느타리버섯,애느타리버섯(2kg),상품,2kg,"7,000","7,500"
101,AW_A00083,AW_A00083,느타리버섯,애느타리버섯(2kg),중품,2kg,"6,000","6,500"
102,AW_A00121,AW_A00121,팽이버섯,팽이버섯(5kg),상품,5kg,"9,750","9,500"
103,AW_A00122,AW_A00122,팽이버섯,팽이버섯(5kg),중품,5kg,"8,750","8,500"
104,AW_A00070,AW_A00070,새송이버섯,새송이버섯(2kg),상품,2kg,"8,500","8,750"
105,AW_A00071,AW_A00071,새송이버섯,새송이버섯(2kg),중품,2kg,"6,500","6,750"
106,AW_A00064,AW_A00064,사과,사과(후지)(10kg),상품,10kg,"59,300","59,300"
107,AW_A00065,AW_A00065,사과,사과(후지)(10kg),중품,10kg,"49,300","49,300"
108,AW_A00053,AW_A00053,배,배(신고)(15kg),상품,15kg,"71,600","71,600"
109,AW_A00054,AW_A00054,배,배(신고)(15kg),중품,15kg,"61,600","61,600"
110,AW_A00057,AW_A00057,복숭아,복숭아(백도)(4.5kg),상품,4.5kg,"27,100","27,100"
111,AW_A00058,AW_A00058,복숭아,복숭아(백도)(4.5kg),중품,4.5kg,"22,100","22,100"
112,AW_A00123,AW_A00123,포도,포도(거봉)(2kg),상품,2kg,"26,800","26,800"
113,AW_A00124,AW_A00124,포도,포도(거봉)(2kg),중품,2kg,"21,800","21,800"
114,AW_A00051,AW_A00051,바나나,바나나(수입)(13kg),상품,13kg,"28,000","30,600"
115,AW_A00052,AW_A00052,바나나,바나나(수입)(13kg),중품,13kg,"23,000","25,600"
116,AW_A00108,AW_A00108,참다래,참다래(그린 뉴질랜드)(10kg),상품,10kg,"44,600","44,600"
117,AW_A00109,AW_A00109,참다래,참다래(그린 뉴질랜드)(10kg),중품,10kg,"39,600","39,600"
118,AW_A00117,AW_A00117,파인애플,파인애플(수입)(12kg),상품,12kg,"32,000","32,000"
119,AW_A00118,AW_A00118,파인애플,파인애플(수입)(12kg),중품,12kg,"27,000","27,000"
120,AW_A00094,AW_A00094,오렌지,오렌지(네이블 미국)(18kg),상품,18kg,,
121,AW_A00095,AW_A00095,오렌지,오렌지(네이블 미국)(18kg),중품,18kg,,
122,AW_A00096,AW_A00096,오렌지,오렌지(발렌시아 미국)(18kg),상품,18kg,"55,000","55,000"
123,AW_A00097,AW_A00097,오렌지,오렌지(발렌시아 미국)(18kg),중품,18kg,"50,000","50,000"
124,AW_A00036,AW_A00036,레몬,레몬(수입)(17kg),상품,17kg,"74,000","74,000"
125,AW_A00037,AW_A00037,레몬,레몬(수입)(17kg),중품,17kg,"69,000","69,000"
126,AW_A00113,AW_A00113,체리,체리(수입)(5kg),상품,5kg,"120,000","120,000"
127,AW_A00114,AW_A00114,체리,체리(수입)(5kg),중품,5kg,"110,000","110,000"
128,AW_A00039,AW_A00039,망고,망고(수입)(5kg),상품,5kg,"52,600","52,600"
129,AW_A00040,AW_A00040,망고,망고(수입)(5kg),중품,5kg,"47,600","47,600"
130,SW_A00015,SW_A00015,고등어,고등어(생선)(10kg),중품,10kg,"53,600","53,600"
131,SW_A00013,SW_A00013,고등어,고등어(냉동)(10kg),중품,10kg,"61,600","61,600"
132,SW_A00014,SW_A00014,고등어,고등어(냉동)(수입),중품,20kg,"78,600","78,600"
133,SW_A00001,SW_A00001,갈치,갈치(생선)(1kg),중품,1kg,,"17,000"
134,SW_A00000,SW_A00000,갈치,갈치(냉동)(1kg),중품,1kg,"14,300","14,300"
135,SW_A00044,SW_A00044,명태,명태(냉동)(20kg),중품,20kg,"55,000","55,000"
136,SW_A00048,SW_A00048,물오징어,물오징어(생선)(1kg),중품,1kg,"12,000","12,000"
137,SW_A00047,SW_A00047,물오징어,물오징어(냉동)(1kg),중품,1kg,"10,000","10,000"
138,SW_A00008,SW_A00008,건멸치,건멸치(1.5kg),중품,1.5kg,"15,600","15,600"
139,SW_A00059,SW_A00059,북어,북어(황태)(10마리),중품,10마리,"50,000","50,000"
140,SW_A00010,SW_A00010,건오징어,건오징어(20마리),중품,20마리,"81,600","81,600"
141,SW_A00038,SW_A00038,김,마른김(1속),중품,1속,"6,500","6,500"
142,SW_A00009,SW_A00009,건미역,건미역(1kg),상품,1kg,"13,000","13,000"
143,SW_A00102,SW_A00102,전복,전복(1kg),중품,1kg,"33,600","33,600"
144,SW_A00072,SW_A00072,새우,새우(흰다리)(수입),중품,2kg,"24,300","24,300"
