,category_code,p_code,p_group,kind_name_new,rank,unit,price
8378,AW_A00150,AW_A00150,참외,참외(10kg),상품,10kg,"58,200"
8379,AW_A00151,AW_A00151,참외,참외(10kg),중품,10kg,"53,200"
8380,AW_A00136,AW_A00136,오이,오이(다다기계통)(100개),상품,100개,"40,000"
8381,AW_A00137,AW_A00137,오이,오이(다다기계통)(100개),중품,100개,"34,000"
8382,AW_A00138,AW_A00138,오이,오이(취청)(50개),상품,50개,"29,500"
8383,AW_A00139,AW_A00139,오이,오이(취청)(50개),중품,50개,"25,000"
8384,AW_A00120,AW_A00120,호박,애호박(20개),상품,20개,"13,000"
8385,AW_A00121,AW_A00121,호박,애호박(20개),중품,20개,"11,000"
8386,AW_A00196,AW_A00196,호박,호박(쥬키니)(10kg),상품,10kg,"10,500"
8387,AW_A00197,AW_A00197,호박,호박(쥬키니)(10kg),중품,10kg,"8,500"
8388,AW_A00156,AW_A00156,토마토,토마토(5kg),상품,5kg,"10,400"
8389,AW_A00157,AW_A00157,토마토,토마토(5kg),중품,5kg,"7,200"
8390,AW_A00048,AW_A00048,딸기,딸기(2kg),상품,2kg,"12,000"
8391,AW_A00049,AW_A00049,딸기,딸기(2kg),중품,2kg,"7,400"
8392,AW_A00066,AW_A00066,무,무(월동)(20kg),상품,20kg,"12,600"
8393,AW_A00067,AW_A00067,무,무(월동)(20kg),중품,20kg,"10,600"
8394,AW_A00039,AW_A00039,당근,당근(무세척)(20kg),상품,20kg,"38,000"
8395,AW_A00040,AW_A00040,당근,당근(무세척)(20kg),중품,20kg,"36,000"
8396,AW_A00041,AW_A00041,당근,당근(세척)(수입),중품,10kg,"11,000"
8397,AW_A00128,AW_A00128,열무,열무(4kg),상품,4kg,"9,500"
8398,AW_A00129,AW_A00129,열무,열무(4kg),중품,4kg,"8,500"
8399,AW_A00016,AW_A00016,건고추,건고추(화건)(30kg),상품,30kg,"600,000"
8400,AW_A00017,AW_A00017,건고추,건고추(화건)(30kg),중품,30kg,"550,000"
8401,AW_A00010,AW_A00010,건고추,건고추(양건)(30kg),상품,30kg,"750,000"
8402,AW_A00011,AW_A00011,건고추,건고추(양건)(30kg),중품,30kg,"700,000"
8403,AW_A00174,AW_A00174,풋고추,풋고추(10kg),상품,10kg,"41,000"
8404,AW_A00175,AW_A00175,풋고추,풋고추(10kg),중품,10kg,"33,000"
8405,AW_A00176,AW_A00176,풋고추,풋고추(꽈리고추)(4kg),상품,4kg,"24,500"
8406,AW_A00177,AW_A00177,풋고추,풋고추(꽈리고추)(4kg),중품,4kg,"20,000"
8407,AW_A00180,AW_A00180,풋고추,풋고추(청양고추)(10kg),상품,10kg,"38,200"
8408,AW_A00181,AW_A00181,풋고추,풋고추(청양고추)(10kg),중품,10kg,"31,700"
8409,AW_A00178,AW_A00178,풋고추,풋고추(오이맛고추)(10kg),상품,10kg,"26,700"
8410,AW_A00179,AW_A00179,풋고추,풋고추(오이맛고추)(10kg),중품,10kg,"24,700"
