,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
111,참다래,419,그린 뉴질랜드(10kg),02,중품,05,10kg,2022-06-23,"39,600"
112,파인애플,420,수입(12kg),02,상품,04,12kg,2022-06-23,"32,000"
113,파인애플,420,수입(12kg),02,중품,05,12kg,2022-06-23,"27,000"
114,오렌지,421,네이블 미국(18kg),03,상품,04,18kg,2022-06-23,"75,000"
115,오렌지,421,네이블 미국(18kg),03,중품,05,18kg,2022-06-23,"70,000"
116,오렌지,421,발렌시아 미국(18kg),04,상품,04,18kg,2022-06-23,"55,000"
117,오렌지,421,발렌시아 미국(18kg),04,중품,05,18kg,2022-06-23,"50,000"
118,레몬,424,수입(17kg),00,상품,04,17kg,2022-06-23,"74,000"
119,레몬,424,수입(17kg),00,중품,05,17kg,2022-06-23,"69,000"
120,체리,425,수입(5kg),00,상품,04,5kg,2022-06-23,"120,000"
121,체리,425,수입(5kg),00,중품,05,5kg,2022-06-23,"110,000"
122,망고,428,수입(5kg),00,상품,04,5kg,2022-06-23,"52,600"
123,망고,428,수입(5kg),00,중품,05,5kg,2022-06-23,"47,600"
124,고등어,611,생선(10kg),01,중품,05,10kg,2022-06-23,"48,300"
125,고등어,611,냉동(10kg),02,중품,05,10kg,2022-06-23,"70,000"
126,고등어,611,냉동(수입)(20kg),04,중품,05,20kg,2022-06-23,"80,000"
127,갈치,613,생선(1kg),01,중품,05,1kg,2022-06-23,"17,000"
128,갈치,613,냉동(1kg),02,중품,05,1kg,2022-06-23,"14,300"
129,명태,615,냉동(20kg),02,중품,05,20kg,2022-06-23,"55,000"
130,물오징어,619,생선(1kg),01,중품,05,1kg,2022-06-23,"12,000"
131,물오징어,619,냉동(1kg),02,중품,05,1kg,2022-06-23,"10,000"
132,건멸치,638,건멸치(1.5kg),00,중품,05,1.5kg,2022-06-23,"15,000"
133,북어,639,황태(10마리),01,중품,05,10마리,2022-06-23,"50,000"
134,건오징어,640,건오징어(20마리),00,중품,05,20마리,2022-06-23,"81,600"
135,김,641,마른김(1속),00,중품,05,1속,2022-06-23,"6,500"
136,건미역,642,건미역(1kg),00,상품,04,1kg,2022-06-23,"13,000"
137,전복,653,전복(1kg),00,중품,05,1kg,2022-06-23,"33,600"
138,새우,654,흰다리(수입)(2kg),01,중품,05,2kg,2022-06-23,"24,300"
