,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2
80,멜론,257,멜론(8kg),00,상품,04,8kg,2022-07-01,"26,800",1일전 (06/30),"26,800"
81,멜론,257,멜론(8kg),00,중품,05,8kg,2022-07-01,"21,800",1일전 (06/30),"21,800"
82,깐마늘(국산),258,깐마늘(대서)(20kg),03,상품,04,20kg,2022-07-01,"170,000",1일전 (06/30),"170,000"
83,깐마늘(국산),258,깐마늘(대서)(20kg),03,중품,05,20kg,2022-07-01,"160,000",1일전 (06/30),"160,000"
84,깐마늘(국산),258,햇깐마늘(대서)(20kg),04,상품,04,20kg,2022-07-01,"173,000",1일전 (06/30),"173,000"
85,깐마늘(국산),258,햇깐마늘(대서)(20kg),04,중품,05,20kg,2022-07-01,"163,000",1일전 (06/30),"163,000"
86,깐마늘(국산),258,깐마늘(남도)(20kg),05,상품,04,20kg,2022-07-01,"175,000",1일전 (06/30),"175,000"
87,깐마늘(국산),258,깐마늘(남도)(20kg),05,중품,05,20kg,2022-07-01,"165,000",1일전 (06/30),"165,000"
88,깐마늘(국산),258,햇깐마늘(남도)(20kg),06,상품,04,20kg,2022-07-01,"175,000",1일전 (06/30),"175,000"
89,깐마늘(국산),258,햇깐마늘(남도)(20kg),06,중품,05,20kg,2022-07-01,"165,000",1일전 (06/30),"165,000"
90,방울토마토,422,대추방울토마토(1kg),02,상품,04,1kg,2022-07-01,"3,910",1일전 (06/30),"4,330"
91,방울토마토,422,대추방울토마토(1kg),02,중품,05,1kg,2022-07-01,"2,910",1일전 (06/30),"3,330"
92,참깨,312,백색(국산)(30kg),01,상품,04,30kg,2022-07-01,"825,000",1일전 (06/30),"825,000"
93,참깨,312,중국(30kg),02,중품,05,30kg,2022-07-01,"233,000",1일전 (06/30),"233,000"
94,참깨,312,인도(30kg),03,중품,05,30kg,2022-07-01,"170,000",1일전 (06/30),"170,000"
95,들깨,313,국산(22.5kg),01,상품,04,22.5kg,2022-07-01,"322,000",1일전 (06/30),"322,000"
96,들깨,313,수입(45kg),02,중품,05,45kg,2022-07-01,"413,000",1일전 (06/30),"413,000"
97,땅콩,314,국산(30kg),01,상품,04,30kg,2022-07-01,"400,000",1일전 (06/30),"400,000"
98,느타리버섯,315,느타리버섯(2kg),00,상품,04,2kg,2022-07-01,"11,200",1일전 (06/30),"11,500"
99,느타리버섯,315,느타리버섯(2kg),00,중품,05,2kg,2022-07-01,"10,200",1일전 (06/30),"10,500"
100,느타리버섯,315,애느타리버섯(2kg),01,상품,04,2kg,2022-07-01,"7,000",1일전 (06/30),"7,500"
101,느타리버섯,315,애느타리버섯(2kg),01,중품,05,2kg,2022-07-01,"6,000",1일전 (06/30),"6,500"
102,팽이버섯,316,팽이버섯(5kg),00,상품,04,5kg,2022-07-01,"9,750",1일전 (06/30),"9,500"
103,팽이버섯,316,팽이버섯(5kg),00,중품,05,5kg,2022-07-01,"8,750",1일전 (06/30),"8,500"
104,새송이버섯,317,새송이버섯(2kg),00,상품,04,2kg,2022-07-01,"8,500",1일전 (06/30),"8,750"
105,새송이버섯,317,새송이버섯(2kg),00,중품,05,2kg,2022-07-01,"6,500",1일전 (06/30),"6,750"
106,사과,411,후지(10kg),05,상품,04,10kg,2022-07-01,"59,300",1일전 (06/30),"59,300"
107,사과,411,후지(10kg),05,중품,05,10kg,2022-07-01,"49,300",1일전 (06/30),"49,300"
108,배,412,신고(15kg),01,상품,04,15kg,2022-07-01,"71,600",1일전 (06/30),"71,600"
109,배,412,신고(15kg),01,중품,05,15kg,2022-07-01,"61,600",1일전 (06/30),"61,600"
110,복숭아,413,백도(4.5kg),01,상품,04,4.5kg,2022-07-01,"27,100",1일전 (06/30),"27,100"
111,복숭아,413,백도(4.5kg),01,중품,05,4.5kg,2022-07-01,"22,100",1일전 (06/30),"22,100"
112,포도,414,거봉(2kg),02,상품,04,2kg,2022-07-01,"26,800",1일전 (06/30),"26,800"
113,포도,414,거봉(2kg),02,중품,05,2kg,2022-07-01,"21,800",1일전 (06/30),"21,800"
114,바나나,418,수입(13kg),02,상품,04,13kg,2022-07-01,"28,000",1일전 (06/30),"30,600"
